AGNO,NOM_REG_RBD_A,COD_ENSE,PROM_NOTAS_ALU,ENSE_COMPLETA,MARCA_EGRESO,cat_periodo,gen_alu,anio_ing_carr_act,nivel_carrera_2
2015,COQ,310,5.6,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,310,5.9,1,1,2022,2,2018,Carreras Profesionales
2015,VALPO,410,5.4,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,310,5.7,1,1,2022,2,2016,Carreras Profesionales
2015,VALPO,810,5.3,1,1,2022,1,2021,Carreras Profesionales
2015,VALPO,310,6.6,1,1,2022,1,2017,Carreras Profesionales
2015,VALPO,410,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,310,6.9,1,1,2022,2,2016,Carreras Profesionales
2015,VALPO,410,5.5,1,1,2022,1,2018,Carreras Profesionales
2015,VALPO,310,6.1,1,1,2022,2,2018,Carreras Técnicas
2015,VALPO,310,5.9,1,1,2022,2,2016,Carreras Profesionales
2015,VALPO,363,6.2,1,1,2022,2,2018,Carreras Profesionales
2015,VALPO,310,5.3,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,310,6.3,1,1,2022,2,2019,Carreras Profesionales
2015,BBIO,310,6.6,1,1,2022,1,2016,Carreras Profesionales
2015,VALPO,310,6.0,1,1,2022,1,2020,Carreras Profesionales
2015,VALPO,310,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,610,5.7,1,1,2022,1,2016,Carreras Técnicas
2015,VALPO,310,6.5,1,1,2022,1,2016,Carreras Profesionales
2015,VALPO,310,6.8,1,1,2022,2,2022,Postítulo
2015,VALPO,410,5.6,1,1,2022,2,2021,Carreras Técnicas
2015,VALPO,310,5.5,1,1,2022,2,2021,Carreras Profesionales
2015,VALPO,310,7.0,1,1,2022,1,2021,Magister
2015,VALPO,310,5.7,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,410,5.2,1,1,2022,1,2017,Carreras Profesionales
2015,VALPO,310,5.3,1,1,2022,1,2016,Carreras Técnicas
2015,RM,310,5.9,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,310,6.0,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,510,6.3,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,310,6.0,1,1,2022,2,2019,Carreras Profesionales
2015,VALPO,663,5.8,1,1,2022,2,2020,Carreras Técnicas
2015,BBIO,310,5.0,1,1,2022,1,2020,Carreras Técnicas
2015,LAGOS,310,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,BBIO,310,6.4,1,1,2022,2,2016,Carreras Profesionales
2015,BBIO,310,6.3,1,1,2022,1,2016,Carreras Profesionales
2015,BBIO,363,5.9,1,1,2022,2,2020,Carreras Técnicas
2015,BBIO,310,6.4,1,1,2022,2,2017,Carreras Profesionales
2015,AYSEN,363,5.7,1,1,2022,1,2020,Carreras Técnicas
2015,RM,363,4.9,1,1,2022,2,2021,Carreras Técnicas
2015,COQ,363,5.2,1,1,2022,1,2017,Carreras Profesionales
2015,BBIO,363,6.5,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,6.2,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,363,6.0,1,1,2022,2,2016,Carreras Profesionales
2015,RIOS,463,5.6,1,1,2022,1,2016,Carreras Técnicas
2015,MAULE,363,6.2,1,1,2022,2,2021,Carreras Técnicas
2015,VALPO,363,6.5,1,1,2022,2,2019,Carreras Técnicas
2015,MAULE,363,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,RM,463,5.3,1,1,2022,2,2021,Carreras Profesionales
2015,VALPO,363,4.9,1,1,2022,1,2017,Carreras Técnicas
2015,RM,363,5.7,1,1,2022,1,2018,Carreras Técnicas
2015,RM,363,5.7,1,1,2022,2,2020,Carreras Técnicas
2015,TPCA,363,5.4,1,1,2022,2,2019,Carreras Técnicas
2015,LAGOS,363,4.2,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,4.3,1,1,2022,1,2020,Carreras Técnicas
2015,RM,363,5.9,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,5.8,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,363,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,ARAUC,310,6.8,1,1,2022,1,2016,Carreras Profesionales
2015,RM,363,6.4,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.0,1,1,2022,1,2021,Carreras Técnicas
2015,ANTOF,363,6.1,1,1,2022,1,2020,Carreras Técnicas
2015,VALPO,363,6.5,1,1,2022,2,2020,Postítulo
2015,TPCA,363,6.1,1,1,2022,2,2016,Carreras Técnicas
2015,TPCA,363,6.3,1,1,2022,2,2019,Carreras Profesionales
2015,VALPO,610,5.1,1,1,2022,2,2020,Carreras Profesionales
2015,VALPO,310,6.2,1,1,2022,1,2018,Carreras Profesionales
2015,ATCMA,363,5.9,1,1,2022,1,2018,Carreras Profesionales
2015,AYP,363,5.3,1,1,2022,2,2020,Carreras Profesionales
2015,BBIO,363,4.6,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,5.2,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,6.2,1,1,2022,1,2020,Carreras Técnicas
2015,LGBO,363,6.5,1,1,2022,2,2020,Carreras Profesionales
2015,RM,363,5.8,1,1,2022,1,2020,Carreras Técnicas
2015,RM,463,6.7,1,1,2022,2,2020,Carreras Profesionales
2015,ARAUC,363,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,6.0,1,1,2022,1,2017,Carreras Técnicas
2015,RM,363,5.4,1,1,2022,1,2020,Carreras Técnicas
2015,RM,363,6.4,1,1,2022,1,2019,Carreras Técnicas
2015,LGBO,363,5.3,1,1,2022,1,2017,Carreras Técnicas
2015,AYSEN,363,6.5,1,1,2022,2,2017,Carreras Técnicas
2015,VALPO,363,6.3,1,1,2022,2,2020,Carreras Técnicas
2015,TPCA,610,6.3,1,1,2022,2,2017,Carreras Profesionales
2015,RM,363,6.2,1,1,2022,2,2021,Carreras Profesionales
2015,ANTOF,363,5.8,1,1,2022,2,2021,Carreras Técnicas
2015,VALPO,363,6.6,1,1,2022,1,2022,Carreras Técnicas
2015,RM,363,5.2,1,1,2022,1,2020,Carreras Técnicas
2015,RM,310,5.0,1,1,2022,1,2016,Carreras Técnicas
2015,MAULE,363,5.5,1,1,2022,2,2021,Carreras Profesionales
2015,BBIO,363,6.0,1,1,2022,2,2020,Carreras Técnicas
2015,BBIO,363,6.2,1,1,2022,2,2020,Carreras Técnicas
2015,COQ,363,5.4,1,1,2022,1,2020,Carreras Técnicas
2015,ARAUC,363,6.1,1,1,2022,2,2020,Carreras Profesionales
2015,MAG,363,5.5,1,1,2022,1,2021,Carreras Técnicas
2015,VALPO,363,6.8,1,1,2022,2,2020,Carreras Técnicas
2015,RIOS,363,5.7,1,1,2022,2,2020,Carreras Técnicas
2015,MAG,363,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,LAGOS,363,5.6,1,1,2022,2,2019,Carreras Profesionales
2015,RM,363,5.4,1,1,2022,1,2016,Carreras Profesionales
2015,RM,363,5.3,1,1,2022,1,2017,Carreras Profesionales
2015,RM,363,5.8,1,1,2022,1,2019,Carreras Profesionales
2015,RM,363,4.6,1,1,2022,1,2016,Carreras Técnicas
2015,VALPO,363,5.6,1,1,2022,2,2016,Carreras Profesionales
2015,RM,363,5.2,1,1,2022,2,2018,Carreras Profesionales
2015,RM,363,5.5,1,1,2022,2,2019,Carreras Profesionales
2015,RM,363,5.6,1,1,2022,1,2021,Carreras Técnicas
2015,BBIO,363,5.3,1,1,2022,2,2020,Carreras Técnicas
2015,COQ,363,6.1,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,5.2,1,1,2022,2,2017,Carreras Profesionales
2015,RM,363,5.3,1,1,2022,2,2019,Carreras Técnicas
2015,RM,363,6.6,1,1,2022,1,2020,Carreras Técnicas
2015,ANTOF,463,6.0,1,1,2022,2,2018,Carreras Profesionales
2015,ANTOF,463,6.0,1,1,2022,2,2018,Carreras Técnicas
2015,ANTOF,363,6.0,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,663,5.6,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,6.2,1,1,2022,2,2018,Carreras Profesionales
2015,RM,310,5.3,1,1,2022,2,2016,Carreras Profesionales
2015,RM,363,6.5,1,1,2022,1,2017,Carreras Profesionales
2015,BBIO,363,4.6,1,1,2022,1,2020,Carreras Técnicas
2015,ARAUC,363,6.0,1,1,2022,2,2018,Carreras Profesionales
2015,VALPO,363,5.5,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,363,5.3,1,1,2022,1,2020,Carreras Técnicas
2015,BBIO,363,6.1,1,1,2022,1,2016,Carreras Técnicas
2015,VALPO,363,6.5,1,1,2022,2,2018,Carreras Técnicas
2015,VALPO,363,5.8,1,1,2022,2,2016,Carreras Profesionales
2015,RM,363,5.0,1,1,2022,2,2016,Carreras Técnicas
2015,RM,363,6.8,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.4,1,1,2022,1,2021,Carreras Técnicas
2015,RM,363,6.8,1,1,2022,1,2019,Carreras Profesionales
2015,BBIO,363,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,4.8,1,1,2022,1,2018,Carreras Técnicas
